,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
917,Friday Night Lights,2004,[],P,118,[],NA,7.3,30000000,20269025,61188085 26 December 2004,NA,['English'],"['UniversalPictures', 'ImagineEntertainment', 'FridayNightLightsLLC']"
918,The Polar Express,2004,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",NA,100,"['Tom Hanks', 'Chris Coppola', 'Michael Jeter', 'Leslie Zemeckis']",Robert Zemeckis,6.6,165000000,23323463,183373735,307514317,['English'],"['CastleRockEntertainment', 'Shangri-LaEntertainment', 'Playtone']"
919,Shark Tale,2004,[],P, 90,[],NA,6.0,75000000,47604606,160861908,367275019,['English'],"['DreamWorksAnimation', 'DreamWorks', 'PacificDataImages(PDI)']"
920,The Village,2004,[],P,108,[],NA,6.5,60000000,50746142,114197520,256697520,['English'],"['TouchstonePictures', 'BlindingEdgePictures', 'ScottRudinProductions']"
921,Walking Tall,2004,[],P, 86,[],NA,6.3,56000000,15501114,45860039 30 May 2004,NA,['English'],"['Metro-Goldwyn-Mayer(MGM)', 'HydeParkEntertainment', 'MandevilleFilms']"
922,House of Wax,2005,Horror,R,108,"['Chad Michael Murray', 'Paris Hilton', 'Elisha Cuthbert', 'Brian Van Holt']",Jaume Collet-Serra,5.3,30000000,12077236,32064800,70064800,['English'],"['WarnerBros.', 'VillageRoadshowPictures', 'DarkCastleEntertainment']"
923,Chicken Little,2005,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",NA, 81,"['Zach Braff', 'Joan Cusack', 'Garry Marshall', 'Don Knotts']",Mark Dindal,5.8,150000000,40049778,135386665,314432837,['English'],"['WaltDisneyPictures', 'WaltDisneyFeatureAnimation']"
924,Corpse Bride,2005,"['Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",P, 77,"['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson', 'Tracey Ullman']",NA,7.4,40000000,385078,53359111,117195061,['English'],"['WarnerBros.', 'TimBurtonProductions', 'LaikaEntertainment']"
925,The Devil\'s Rejects,2005,"['Crime', 'Horror']",R,107,"['Sid Haig', 'Sheri Moon Zombie', 'Bill Moseley', 'William Forsythe']",Rob Zombie,6.9,7000000,7067335,17044981,2345048,"['English', 'Spanish']","['LionsGateFilms', 'CinerentaMedienbeteiligungsKG', 'CinelamdaInternationaleFilmproduktionsgesellschaftmbH&Co.1Beteiligungs-KG']"
926,A History of Violence,2005,"['Drama', 'Thriller']",R, 96,"['Viggo Mortensen', 'Maria Bello', 'Ed Harris', 'William Hurt']",David Cronenberg,7.5,32000000,515992,31493782 5 February 2006,NA,['English'],"['NewLineCinema', 'BenderSpink', 'MediaI!FilmproduktionM\\xc3\\xbcnchen&Company']"
